east_m,north_m,ellipsoidal_height_m,orthometric_height_m,normal_east,normal_north,normal_up,surface_type,physical_material,water_mask,material_mask
25000.000,0.000,361.359,316.109,-0.000611200,-0.000474800,0.999999700,terrain,grass,0,1
30000.000,0.000,367.471,322.221,-0.001156899,-0.000474800,0.999999218,terrain,grass,0,1
35000.000,0.000,372.928,327.678,-0.001097999,-0.000474800,0.999999284,terrain,grass,0,1
40000.000,0.000,378.451,333.201,-0.001181799,-0.000474800,0.999999189,terrain,grass,0,1
45000.000,0.000,384.746,339.496,-0.001390998,-0.000474799,0.999998920,terrain,grass,0,1
50000.000,0.000,392.361,347.111,-0.000761500,-0.000474800,0.999999597,terrain,grass,0,1
25000.000,5000.000,366.107,320.857,-0.000611200,-0.000821800,0.999999476,terrain,grass,0,1
30000.000,5000.000,372.219,326.969,-0.001156899,-0.000821799,0.999998993,terrain,grass,0,1
35000.000,5000.000,377.676,332.426,-0.001097999,-0.000821899,0.999999059,terrain,grass,0,1
40000.000,5000.000,383.199,337.949,-0.001181799,-0.000821899,0.999998964,terrain,grass,0,1
45000.000,5000.000,389.494,344.244,-0.001390998,-0.000821799,0.999998695,terrain,grass,0,1
50000.000,5000.000,397.109,351.859,-0.000761500,-0.000821899,0.999999372,terrain,grass,0,1
25000.000,10000.000,369.577,324.327,-0.000611200,-0.000627300,0.999999616,terrain,grass,0,1
30000.000,10000.000,375.689,330.439,-0.001156999,-0.000627299,0.999999134,terrain,grass,0,1
35000.000,10000.000,381.147,335.897,-0.001098099,-0.000627399,0.999999200,terrain,grass,0,1
40000.000,10000.000,386.670,341.420,-0.001181699,-0.000627399,0.999999105,terrain,grass,0,1
45000.000,10000.000,392.964,347.714,-0.001390998,-0.000627299,0.999998836,terrain,grass,0,1
50000.000,10000.000,400.580,355.330,-0.000761600,-0.000627400,0.999999513,terrain,grass,0,1
25000.000,15000.000,372.380,327.130,-0.000611200,-0.000575000,0.999999648,terrain,grass,0,1
30000.000,15000.000,378.492,333.242,-0.001156999,-0.000575000,0.999999165,terrain,grass,0,1
35000.000,15000.000,383.950,338.700,-0.001098099,-0.000575000,0.999999232,terrain,grass,0,1
40000.000,15000.000,389.473,344.223,-0.001181699,-0.000575000,0.999999136,terrain,grass,0,1
45000.000,15000.000,395.767,350.517,-0.001390998,-0.000574999,0.999998867,terrain,grass,0,1
50000.000,15000.000,403.383,358.133,-0.000761600,-0.000575000,0.999999545,terrain,grass,0,1
25000.000,20000.000,375.327,330.077,-0.000611200,-0.000680600,0.999999582,terrain,grass,0,1
30000.000,20000.000,381.439,336.189,-0.001156999,-0.000680599,0.999999099,terrain,grass,0,1
35000.000,20000.000,386.897,341.647,-0.001098099,-0.000680599,0.999999165,terrain,grass,0,1
40000.000,20000.000,392.420,347.170,-0.001181699,-0.000680599,0.999999070,terrain,grass,0,1
45000.000,20000.000,398.714,353.464,-0.001390998,-0.000680599,0.999998801,terrain,grass,0,1
50000.000,20000.000,406.330,361.080,-0.000761600,-0.000680500,0.999999478,terrain,grass,0,1
25000.000,25000.000,379.186,333.936,-0.000611200,-0.000912299,0.999999397,terrain,grass,0,1
30000.000,25000.000,385.298,340.048,-0.001156999,-0.000912299,0.999998915,terrain,grass,0,1
35000.000,25000.000,390.756,345.506,-0.001098099,-0.000912299,0.999998981,terrain,grass,0,1
40000.000,25000.000,396.279,351.029,-0.001181699,-0.000912299,0.999998886,terrain,grass,0,1
45000.000,25000.000,402.573,357.323,-0.001390898,-0.000912299,0.999998617,terrain,grass,0,1
50000.000,25000.000,410.188,364.938,-0.000761499,-0.000912299,0.999999294,terrain,grass,0,1
25000.000,30000.000,384.450,339.200,-0.000611199,-0.001200499,0.999999093,terrain,grass,0,1
30000.000,30000.000,390.562,345.312,-0.001156998,-0.001200498,0.999998610,terrain,grass,0,1
35000.000,30000.000,396.020,350.770,-0.001098099,-0.001200498,0.999998676,terrain,grass,0,1
40000.000,30000.000,401.543,356.293,-0.001181698,-0.001200498,0.999998581,terrain,grass,0,1
45000.000,30000.000,407.837,362.587,-0.001390998,-0.001200498,0.999998312,terrain,grass,0,1
50000.000,30000.000,415.453,370.203,-0.000761599,-0.001200599,0.999998989,terrain,grass,0,1
25000.000,35000.000,391.191,345.941,-0.000611199,-0.001458498,0.999998750,terrain,grass,0,1
30000.000,35000.000,397.303,352.053,-0.001156998,-0.001458497,0.999998267,terrain,grass,0,1
35000.000,35000.000,402.761,357.511,-0.001098098,-0.001458498,0.999998333,terrain,grass,0,1
40000.000,35000.000,408.284,363.034,-0.001181698,-0.001458497,0.999998238,terrain,grass,0,1
45000.000,35000.000,414.578,369.328,-0.001390997,-0.001458497,0.999997969,terrain,grass,0,1
50000.000,35000.000,422.194,376.944,-0.000761599,-0.001458398,0.999998647,terrain,grass,0,1
25000.000,40000.000,399.035,353.785,-0.000611199,-0.001608598,0.999998519,terrain,grass,0,1
30000.000,40000.000,405.147,359.897,-0.001156998,-0.001608597,0.999998037,terrain,grass,0,1
35000.000,40000.000,410.605,365.355,-0.001098098,-0.001608597,0.999998103,terrain,grass,0,1
40000.000,40000.000,416.128,370.878,-0.001181698,-0.001608597,0.999998008,terrain,grass,0,1
45000.000,40000.000,422.422,377.172,-0.001390897,-0.001608596,0.999997739,terrain,grass,0,1
50000.000,40000.000,430.037,384.787,-0.000761499,-0.001608597,0.999998416,terrain,grass,0,1
25000.000,45000.000,407.277,362.027,-0.000611199,-0.001605798,0.999998524,terrain,grass,0,1
30000.000,45000.000,413.389,368.139,-0.001156998,-0.001605697,0.999998042,terrain,grass,0,1
35000.000,45000.000,418.847,373.597,-0.001098098,-0.001605697,0.999998108,terrain,grass,0,1
40000.000,45000.000,424.370,379.120,-0.001181698,-0.001605697,0.999998013,terrain,grass,0,1
45000.000,45000.000,430.664,385.414,-0.001390997,-0.001605796,0.999997743,terrain,grass,0,1
50000.000,45000.000,438.280,393.030,-0.000761599,-0.001605797,0.999998421,terrain,grass,0,1
25000.000,50000.000,415.093,369.843,-0.000611100,-0.000781600,0.999999508,terrain,grass,0,1
30000.000,50000.000,421.204,375.954,-0.001156899,-0.000781499,0.999999025,terrain,grass,0,1
35000.000,50000.000,426.662,381.412,-0.001098099,-0.000781499,0.999999092,terrain,grass,0,1
40000.000,50000.000,432.185,386.935,-0.001181799,-0.000781499,0.999998996,terrain,grass,0,1
45000.000,50000.000,438.480,393.230,-0.001390998,-0.000781599,0.999998727,terrain,grass,0,1
50000.000,50000.000,446.095,400.845,-0.000761500,-0.000781500,0.999999405,terrain,grass,0,1
